"","X","Country","Lat","Long","date","val","diff","Countr_id","exp_pred"
"1",2332,"Brazil",-14.235,-51.9253,"2020-02-26",1,0,19,0.752045350211874
"2",2427,"Brazil",-14.235,-51.9253,"2020-02-27",1,1,19,1.00513547766689
"3",2526,"Brazil",-14.235,-51.9253,"2020-02-28",1,2,19,1.34339947475243
"4",2631,"Brazil",-14.235,-51.9253,"2020-02-29",2,3,19,1.79550139146836
"5",2743,"Brazil",-14.235,-51.9253,"2020-03-01",2,4,19,2.39975175467365
"6",2763,"Ecuador",-1.8312,-78.1834,"2020-03-01",6,0,43,1.72184489259332
"7",2861,"Brazil",-14.235,-51.9253,"2020-03-02",2,5,19,3.20735395217361
"8",2881,"Ecuador",-1.8312,-78.1834,"2020-03-02",6,1,43,2.30130721252048
"9",2994,"Brazil",-14.235,-51.9253,"2020-03-03",2,6,19,4.28674314103072
"10",3014,"Ecuador",-1.8312,-78.1834,"2020-03-03",7,2,43,3.07577930461686
"11",3026,"Argentina",-38.4161,-63.6167,"2020-03-03",1,0,6,1.44068492208812
"12",3027,"Chile",-35.6751,-71.543,"2020-03-03",1,0,28,1.66403099101336
"13",3136,"Brazil",-14.235,-51.9253,"2020-03-04",4,7,19,5.72938535353121
"14",3156,"Ecuador",-1.8312,-78.1834,"2020-03-04",10,3,43,4.11088892401635
"15",3168,"Argentina",-38.4161,-63.6167,"2020-03-04",1,1,6,1.92552686739244
"16",3169,"Chile",-35.6751,-71.543,"2020-03-04",1,1,28,2.22403686763504
"17",3287,"Brazil",-14.235,-51.9253,"2020-03-05",4,8,19,7.65752820948473
"18",3307,"Ecuador",-1.8312,-78.1834,"2020-03-05",13,4,43,5.49434991003212
"19",3319,"Argentina",-38.4161,-63.6167,"2020-03-05",1,2,6,2.57353544845621
"20",3320,"Chile",-35.6751,-71.543,"2020-03-05",4,2,28,2.97250472816475
"21",3450,"Brazil",-14.235,-51.9253,"2020-03-06",13,9,19,10.23456002011
"22",3470,"Ecuador",-1.8312,-78.1834,"2020-03-06",13,5,43,7.34339494251679
"23",3482,"Argentina",-38.4161,-63.6167,"2020-03-06",2,3,6,3.43962206740316
"24",3483,"Chile",-35.6751,-71.543,"2020-03-06",4,3,28,3.97285876306423
"25",3495,"Colombia",4.5709,-74.2973,"2020-03-06",1,0,30,1.22357963324846
"26",3497,"Peru",-9.19,-75.0152,"2020-03-06",1,0,108,2.30034373867155
"27",3636,"Brazil",-14.235,-51.9253,"2020-03-07",13,10,19,13.678855100461
"28",3656,"Ecuador",-1.8312,-78.1834,"2020-03-07",13,6,43,9.81470968627586
"29",3668,"Argentina",-38.4161,-63.6167,"2020-03-07",8,4,6,4.59717777490255
"30",3669,"Chile",-35.6751,-71.543,"2020-03-07",4,4,28,5.30986766873914
"31",3681,"Colombia",4.5709,-74.2973,"2020-03-07",1,1,30,1.63535789268849
"32",3683,"Peru",-9.19,-75.0152,"2020-03-07",1,1,108,3.07449158739729
"33",3845,"Brazil",-14.235,-51.9253,"2020-03-08",20,11,19,18.2822785241136
"34",3865,"Ecuador",-1.8312,-78.1834,"2020-03-08",14,7,43,13.1177101299774
"35",3877,"Argentina",-38.4161,-63.6167,"2020-03-08",12,5,6,6.14429233209733
"36",3878,"Chile",-35.6751,-71.543,"2020-03-08",8,5,28,7.09682783632987
"37",3890,"Colombia",4.5709,-74.2973,"2020-03-08",1,2,30,2.18571424736641
"38",3892,"Peru",-9.19,-75.0152,"2020-03-08",6,2,108,4.1091678439482
"39",3901,"Paraguay",-23.4425,-58.4438,"2020-03-08",1,0,107,1.1316846058175
"40",4082,"Brazil",-14.235,-51.9253,"2020-03-09",25,12,19,24.4349183888935
"41",4102,"Ecuador",-1.8312,-78.1834,"2020-03-09",15,8,43,17.5322882239428
"42",4114,"Argentina",-38.4161,-63.6167,"2020-03-09",12,6,6,8.21206620904937
"43",4115,"Chile",-35.6751,-71.543,"2020-03-09",8,6,28,9.48516394015256
"44",4127,"Colombia",4.5709,-74.2973,"2020-03-09",1,3,30,2.92128517708541
"45",4129,"Peru",-9.19,-75.0152,"2020-03-09",7,3,108,5.49204962503479
"46",4138,"Paraguay",-23.4425,-58.4438,"2020-03-09",1,1,107,1.51253690554188
"47",4333,"Brazil",-14.235,-51.9253,"2020-03-10",31,13,19,32.6581413735919
"48",4353,"Ecuador",-1.8312,-78.1834,"2020-03-10",15,9,43,23.4325295590239
"49",4365,"Argentina",-38.4161,-63.6167,"2020-03-10",17,7,6,10.975719867611
"50",4366,"Chile",-35.6751,-71.543,"2020-03-10",13,7,28,12.6772604671354
"51",4379,"Colombia",4.5709,-74.2973,"2020-03-10",3,4,30,3.90440200320858
"52",4381,"Peru",-9.19,-75.0152,"2020-03-10",11,4,108,7.3403205294393
"53",4390,"Paraguay",-23.4425,-58.4438,"2020-03-10",1,2,107,2.02155961021808
"54",4524,"Brazil",-14.235,-51.9253,"2020-03-11",38,14,19,43.6487726704379
"55",4544,"Ecuador",-1.8312,-78.1834,"2020-03-11",17,10,43,31.3184128917457
"56",4556,"Argentina",-38.4161,-63.6167,"2020-03-11",19,8,6,14.669441714866
"57",4557,"Chile",-35.6751,-71.543,"2020-03-11",23,8,28,16.9436115143212
"58",4570,"Colombia",4.5709,-74.2973,"2020-03-11",9,5,30,5.21837276354805
"59",4572,"Peru",-9.19,-75.0152,"2020-03-11",11,5,108,9.81060062336321
"60",4581,"Paraguay",-23.4425,-58.4438,"2020-03-11",5,3,107,2.70188664004926
"61",4679,"Bolivia",-16.2902,-63.5887,"2020-03-11",2,0,17,2.11071681481735
"62",4729,"Brazil",-14.235,-51.9253,"2020-03-12",52,15,19,58.3381440431931
"63",4749,"Ecuador",-1.8312,-78.1834,"2020-03-12",17,11,43,41.8581776921363
"64",4761,"Argentina",-38.4161,-63.6167,"2020-03-12",19,9,6,19.6062329233528
"65",4762,"Chile",-35.6751,-71.543,"2020-03-12",23,9,28,22.6457421059133
"66",4775,"Colombia",4.5709,-74.2973,"2020-03-12",9,6,30,6.97454162685137
"67",4777,"Peru",-9.19,-75.0152,"2020-03-12",15,6,108,13.1122182205968
"68",4786,"Paraguay",-23.4425,-58.4438,"2020-03-12",5,4,107,3.61116802036284
"69",4887,"Bolivia",-16.2902,-63.5887,"2020-03-12",2,1,17,2.82104842917154
"70",4939,"Brazil",-14.235,-51.9253,"2020-03-13",151,16,19,77.9710136663093
"71",4959,"Ecuador",-1.8312,-78.1834,"2020-03-13",17,12,43,55.9449498850004
"72",4971,"Argentina",-38.4161,-63.6167,"2020-03-13",31,10,6,26.2044307422556
"73",4972,"Chile",-35.6751,-71.543,"2020-03-13",43,10,28,30.2668433523797
"74",4985,"Colombia",4.5709,-74.2973,"2020-03-13",13,7,30,9.32172405246279
"75",4987,"Peru",-9.19,-75.0152,"2020-03-13",28,7,108,17.524948090855
"76",4996,"Paraguay",-23.4425,-58.4438,"2020-03-13",6,5,107,4.82645506957816
"77",5100,"Bolivia",-16.2902,-63.5887,"2020-03-13",3,2,17,3.7704320086254
"78",5167,"Brazil",-14.235,-51.9253,"2020-03-14",151,17,19,104.211045309405
"79",5187,"Ecuador",-1.8312,-78.1834,"2020-03-14",28,13,43,74.7724241761052
"80",5199,"Argentina",-38.4161,-63.6167,"2020-03-14",34,11,6,35.0231578503682
"81",5200,"Chile",-35.6751,-71.543,"2020-03-14",61,11,28,40.4527174350484
"82",5213,"Colombia",4.5709,-74.2973,"2020-03-14",22,8,30,12.4588172182853
"83",5215,"Peru",-9.19,-75.0152,"2020-03-14",38,8,108,23.4227192089231
"84",5224,"Paraguay",-23.4425,-58.4438,"2020-03-14",6,6,107,6.45072962745061
"85",5328,"Bolivia",-16.2902,-63.5887,"2020-03-14",10,3,17,5.03931707965817
"86",5360,"Uruguay",-32.5228,-55.7658,"2020-03-14",4,0,143,2.45260543359288
"87",5367,"Venezuela",6.4238,-66.5897,"2020-03-14",2,0,146,2.6112922164579
"88",5377,"Suriname",3.9193,-56.0278,"2020-03-14",1,0,131,1.125430668857
"89",5414,"Brazil",-14.235,-51.9253,"2020-03-15",162,18,19,139.281785035602
"90",5434,"Ecuador",-1.8312,-78.1834,"2020-03-15",28,14,43,99.9360161849104
"91",5446,"Argentina",-38.4161,-63.6167,"2020-03-15",45,12,6,46.8097016827706
"92",5447,"Chile",-35.6751,-71.543,"2020-03-15",74,12,28,54.0665020407953
"93",5460,"Colombia",4.5709,-74.2973,"2020-03-15",34,9,30,16.6516543082642
"94",5462,"Peru",-9.19,-75.0152,"2020-03-15",43,9,108,31.3053010083573
"95",5471,"Paraguay",-23.4425,-58.4438,"2020-03-15",6,7,107,8.621630601879
"96",5575,"Bolivia",-16.2902,-63.5887,"2020-03-15",10,4,17,6.73522730849953
"97",5607,"Uruguay",-32.5228,-55.7658,"2020-03-15",4,1,143,3.27799478226713
"98",5614,"Venezuela",6.4238,-66.5897,"2020-03-15",10,1,146,3.49008533671244
"99",5624,"Suriname",3.9193,-56.0278,"2020-03-15",1,1,131,1.50417829536989
